央视频道,#genre#
CCTV3,http://125.88.8.114:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://122.231.82.183:55555/rtp/233.50.201.196:5140
CCTV3,http://122.231.82.183:55555/rtp/233.50.200.107:5140
CCTV3,http://117.57.50.223:8888/rtp/238.1.78.170:7232
CCTV3,http://60.186.112.31:3333/rtp/233.50.200.107:5140
CCTV3,http://116.234.45.156:1024/rtp/239.45.1.68:5140
CCTV3,http://117.57.50.225:8888/rtp/238.1.78.170:7232
CCTV3,http://125.69.91.98:8866/rtp/239.93.1.11:2223
CCTV3,http://113.57.103.216:9000/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://111.196.132.180:20000/rtp/239.3.1.172:8001
CCTV3,http://113.24.136.227:8086/rtp/239.1.1.9:8009
CCTV3,http://118.183.212.5:6868/rtp/239.255.29.12:8231
CCTV3,http://124.235.218.240:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://61.136.158.216:18888/rtp/239.69.1.122:10370
CCTV3,http://59.47.112.116:8000/rtp/239.33.5.4:22600
CCTV3,http://113.24.136.82:8086/rtp/239.1.1.9:8009
CCTV3,http://123.145.76.59:8002/rtp/225.0.4.142:7980
CCTV3,http://125.125.143.199:8881/rtp/233.50.201.196:5140
CCTV3,http://120.6.2.34:4000/rtp/239.253.92.191:6057
CCTV3,http://218.88.40.70:8000/rtp/239.93.1.11:2223
CCTV3,http://114.252.126.65:7000/rtp/239.3.1.172:8001
CCTV3,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://59.175.44.4:4000/rtp/239.69.1.122:10370
CCTV3,http://175.148.108.206:8888/rtp/232.0.0.198:9214
CCTV3,http://110.189.180.54:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://123.138.216.44:9902/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://115.231.200.110:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://36.49.51.153:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://14.145.225.144:8888/rtp/239.77.0.175:5146
CCTV3,http://14.145.225.144:8888/rtp/239.77.0.169:5146
CCTV3,http://124.165.251.82:9999/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.57.21.233:8666/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://222.89.107.42:9876/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://36.248.137.69:60033/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://183.94.1.118:8801/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://58.19.182.187:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://125.88.8.114:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://116.231.138.209:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://113.120.108.229:4000/rtp/239.21.2.29:5002
CCTV4,http://113.120.108.229:4000/rtp/239.21.1.154:5002
CCTV4,http://223.151.49.74:59901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://183.184.60.251:8085/rtp/226.0.2.156:9160
CCTV4,http://220.182.45.198:20088/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://218.18.6.142:8888/rtp/239.77.1.163:5146
CCTV4,http://36.49.53.197:8800/rtp/239.37.1.25:5540
CCTV4,http://110.189.180.54:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://60.174.40.117:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://122.231.82.183:55555/rtp/233.50.200.101:5140
CCTV4,http://111.227.71.118:7000/rtp/239.254.200.190:6307
CCTV4,http://60.186.112.31:3333/rtp/233.50.200.101:5140
CCTV4,http://106.57.1.85:55555/rtp/239.200.200.128:8652
CCTV4,http://59.47.112.116:8000/rtp/239.33.4.223:22230
CCTV4,http://59.47.112.116:8000/rtp/239.33.5.40:22960
CCTV4,http://114.226.231.230:8888/rtp/239.49.8.131:6000
CCTV4,http://114.226.231.230:8888/rtp/239.49.8.51:9806
CCTV4,http://117.57.50.223:8888/rtp/238.1.78.236:7760
CCTV4,http://125.46.132.39:9999/rtp/225.1.5.30:1333
CCTV4,http://27.10.237.17:8000/rtp/225.0.4.176:7980
CCTV4,http://218.88.40.70:8000/rtp/239.93.1.105:5140
CCTV4,http://117.57.50.225:8888/rtp/238.1.78.236:7760
CCTV4,http://120.6.2.34:4000/rtp/239.253.92.251:6141
CCTV4,http://220.173.254.29:6666/rtp/239.81.0.96:4056
CCTV4,http://222.90.48.67:7777/rtp/239.112.205.202:5140
CCTV4,http://61.136.158.216:18888/rtp/239.69.1.138:10466
CCTV4,http://175.148.108.206:8888/rtp/232.0.0.148:9142
